Field=#~Integer~#~50|Field=Fitted~String~Fitted~146|Field=Alternate Manufacturer~String~Alternate Manufacturer~146|Field=Alternate PartNumber~String~Alternate PartNumber~146|Field=Description~String~Description~146|Field=Designator~String~Designator~146|Field=Footprint~String~Footprint~146|Field=LibRef~String~LibRef~146|Field=Manufacturer~String~Manufacturer~146|Field=PartNumber~String~PartNumber~146|Field=Quantity~Integer~Quantity~146|Field=RoHS~String~RoHS~146|Field=Supplier 1~String~Supplier 1~146|Field=Supplier 2~String~Supplier 2~146|Field=Supplier Currency 1~String~Supplier Currency 1~146|Field=Supplier Part Number 1~String~Supplier Part Number 1~146|Field=Supplier Part Number 2~String~Supplier Part Number 2~146|Field=Supplier Unit Price 1~Float~Supplier Unit Price 1~146|Field=Library Name~String~Library Name~146|ReportField=Currency~USD|ReportField=ProductionQuantity~100|ReportField=ProjectFileName~TIDA01398.PrjPcb|ReportField=ProjectFullPath~C:\Users\Public\Documents\Altium\AD16\Examples\TIDA-01398\TIDA01398.PrjPcb|ReportField=Title~EVM Assembly Bill of Materials For Project [TIDA01398.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~121|ReportField=ReportTime~2:09:53 PM|ReportField=ReportDate~1/19/2017|ReportField=ReportDateTime~1/19/2017 2:09:53 PM|ReportField=OutputName~EVM Assembly Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=CopyrightYear~2016|ReportField=EVM_Orderable~N/A|ReportField=PCB_Layout~Krypton Solutions|ReportField=PCB_Rev~E1|ReportField=PRJ_Customer~Public Release|ReportField=PRJ_Engineer~Gustavo Martinez|ReportField=PRJ_Number~ISE4047|ReportField=PRJ_Title~Wireless PIR Motion Detector w/ BLE Connectivity|ReportField=SCH_Rev~E1|ReportField=TechSupport~http://www.ti.com/support|ReportField=TID~TIDA-00759|ReportField=Address1~Not shown in title block|ReportField=Address2~Not shown in title block|ReportField=Address3~Not shown in title block|ReportField=Address4~Not shown in title block|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~Not shown in title block|ReportField=Author~Not shown in title block|ReportField=CheckedBy~Not shown in title block|ReportField=CompanyName~Not shown in title block|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=CurrentDate~1/19/2017|ReportField=CurrentTime~12:44:06 PM|ReportField=Date~Not shown in title block|ReportField=DocumentFullPathAndName~C:\Users\Public\Documents\Altium\AD16\Examples\TIDA-01398\TIDA01398_CoverSheet.SchDoc|ReportField=DocumentName~TIDA01398_CoverSheet.SchDoc|ReportField=DocumentNumber~1|ReportField=DrawnBy~Gustavo Martinez|ReportField=Engineer~Not shown in title block|ReportField=ImagePath~Not shown in title block|ReportField=IsUserConfigurable~|ReportField=ModifiedDate~1/19/2017|ReportField=Organization~Not shown in title block|ReportField=PageSetup~Record=PageOptions:CenterHorizontal=True:CenterVertical=True:PrintScale=0.64:XCorrection=1.00:YCorrection=1.00:PrintKind=0:BorderSize=5000000:LeftOffset=0:BottomOffset=0:Orientation=2:PaperLength=1000:PaperWidth=1000:Scale=100:PaperSource=15:PrintQuality=1200:MediaType=1:DitherType=10:PrintScaleMode=1:PaperKind=Letter:PaperIndex=1|ReportField=ProjectName~TIDA01398.PrjPcb|ReportField=Revision~Use project parameter SCH_Rev|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~4|ReportField=Time~Not shown in title block|ReportField=Title~Cover Sheet|ReportField=VersionControl_RevNumber~|ReportField=DataSourceFileName~TIDA01398.PrjPcb|ReportField=DataSourceFullPath~C:\Users\Public\Documents\Altium\AD16\Examples\TIDA-01398\TIDA01398.PrjPcb
33|Fitted|||Header, 50mil, 5x2, Gold, TH|J1|CONN_GRPB052VWVN-RC|GRPB052VWVN-RC|Sullins Connector Solutions|GRPB052VWVN-RC|1|Y|Digi-Key||Loading...|S9015E-05-ND|||Connectors_Sullins.IntLib
34|Fitted|||Header, 100mil, 6x1, Gold, TH|J2|TSW-106-07-G-S|TSW-106-07-G-S|Samtec|TSW-106-07-G-S|1|Y|Digi-Key||Loading...|SAM1029-06-ND|||Connectors_Samtec.IntLib
35|Fitted|||Header, 100mil, 2x1, Gold, TH|J3|TSW-102-07-G-S|TSW-102-07-G-S|Samtec|TSW-102-07-G-S|1|Y|Digi-Key||Loading...|SAM1029-02-ND|||Connectors_Samtec.IntLib
36|Fitted|||Jack, SMA, PCB, Gold, SMT|J4|Linx_CONSMA001-SMD-G|CONSMA001-SMD-G|Linx Technologies|CONSMA001-SMD-G|1|Y|Digi-Key|Mouser|Loading...|CONSMA001-SMD-G-ND|712-CONSMA001-SMD-G||Connectors_Other.IntLib
37|Fitted|||Header, 2.54 mm, 2x1, Gold, R/A, SMT|J5, J6|Molex_87898-0204|87898-0204|Molex|87898-0204|2|Y|Digi-Key|Mouser|Loading...|WM9852-ND|538-87898-0204||Connectors_Molex.IntLib
38|Fitted|||Ferrite Bead, 1500 ohm @ 100 MHz, 0.5 A, 0603|L1|0603|BLM18HE152SN1D|MuRata|BLM18HE152SN1D|1|Y|Digi-Key|Mouser|Loading...|490-5216-1-ND|81-BLM18HE152SN1D||FerriteBead.IntLib
39|Fitted|||Inductor, Multilayer, Ferrite, 10uH, 0.11A, 0.52 ohm, SMD|L2|0805_145|CKS2125100M-T|Taiyo Yuden|CKS2125100M-T|1|Y|Digi-Key|Mouser|Loading...|587-2608-1-ND|963-CKS2125100M-T||Inductor_Other.IntLib
40|Fitted|||Inductor, Multilayer, Air Core, 15 nH, 0.3 A, 0.32 ohm, SMD|L3|IND_LQG15H|LQG15HS15NJ02D|MuRata|LQG15HS15NJ02D|1|Y|Digi-Key|Mouser|Loading...|490-2625-1-ND|81-LQG15HS15NJ02D||Inductor_MuRata.IntLib
41|Fitted|||Inductor, Multilayer, Air Core, 2 nH, 0.3 A, 0.1 ohm, SMD|L4|IND_LQG15H|LQG15HS2N0S02D|MuRata|LQG15HS2N0S02D|1|Y|Digi-Key|Mouser|Loading...|490-6569-1-ND|81-LQG15HS2N0S02D||Inductor_MuRata.IntLib
42|Fitted|None||MOSFET, P-CH, -20 V, -3.7 A, SOT-23|Q1|SOT-23|SI2323DS|Vishay-Siliconix|SI2323DS|1|Y|||||||FETs.IntLib
43|Fitted|||RES, 0, 5%, 0.063 W, 0402|R1, R4, R5, R6, R10, R16, R17|0402, 0402S, 0402S, 0402S, 0402, 0402, 0402|CRCW04020000Z0ED|Vishay-Dale|CRCW04020000Z0ED|7|Y|Digi-Key|Mouser|Loading...|541-0.0JCT-ND|71-CRCW0402-0-E3||Resistor_0402.IntLib
44|Fitted|||RES, 100 k, 1%, 0.063 W, 0402|R2|0402|CRCW0402100KFKED|Vishay-Dale|CRCW0402100KFKED|1|Y|Digi-Key|Mouser|Loading...|541-100KLCT-ND|71-CRCW0402-100K-E3||Resistor_0402.IntLib
45|Fitted|||RES, 47.5 k, 1%, 0.063 W, 0402|R3, R7|0402|CRCW040247K5FKED|Vishay-Dale|CRCW040247K5FKED|2|Y|Digi-Key|Mouser|Loading...|541-47.5KLCT-ND|71-CRCW0402-47.5K-E3||Resistor_0402.IntLib
